Method,Parameter,n_seeds,rank1_ir_mean,rank1_ir_std,rank1_ir_ci95_low,rank1_ir_ci95_high,rank1_ir_mean_std,rank1_ir_ci95,rank5_ir_mean,rank5_ir_std,rank5_ir_ci95_low,rank5_ir_ci95_high,rank5_ir_mean_std,rank5_ir_ci95,eer_mean,eer_std,eer_ci95_low,eer_ci95_high,eer_mean_std,eer_ci95,auc_mean,auc_std,auc_ci95_low,auc_ci95_high,auc_mean_std,auc_ci95,tar_at_far_1pct_mean,tar_at_far_1pct_std,tar_at_far_1pct_ci95_low,tar_at_far_1pct_ci95_high,tar_at_far_1pct_mean_std,tar_at_far_1pct_ci95,tar_at_far_5pct_mean,tar_at_far_5pct_std,tar_at_far_5pct_ci95_low,tar_at_far_5pct_ci95_high,tar_at_far_5pct_mean_std,tar_at_far_5pct_ci95,task_accuracy_mean,task_accuracy_std,task_accuracy_ci95_low,task_accuracy_ci95_high,task_accuracy_mean_std,task_accuracy_ci95,task_macro_f1_mean,task_macro_f1_std,task_macro_f1_ci95_low,task_macro_f1_ci95_high,task_macro_f1_mean_std,task_macro_f1_ci95,task_retention_mean,task_retention_std,task_retention_ci95_low,task_retention_ci95_high,task_retention_mean_std,task_retention_ci95,reconstruction_mse_mean,reconstruction_mse_std,reconstruction_mse_ci95_low,reconstruction_mse_ci95_high,reconstruction_mse_mean_std,reconstruction_mse_ci95,reconstruction_mae_mean,reconstruction_mae_std,reconstruction_mae_ci95_low,reconstruction_mae_ci95_high,reconstruction_mae_mean_std,reconstruction_mae_ci95,signal_correlation_mean,signal_correlation_std,signal_correlation_ci95_low,signal_correlation_ci95_high,signal_correlation_mean_std,signal_correlation_ci95
Differential Privacy,epsilon=1,3,0.011428571740786236,0.0019047620706260204,0.0095238097012043,0.013333333842456338,1.14 ± 0.19,"[0.95, 1.33]",0.047619049064815046,0.010079053315246373,0.03619047682732344,0.05523809716105462,4.76 ± 1.01,"[3.62, 5.52]",0.5028296703296703,0.0049600995537747794,0.4988827838827839,0.5083974358974359,50.28 ± 0.50,"[49.89, 50.84]",0.49893711843711847,0.006038277274077919,0.4924311878597593,0.5043615907901622,49.89 ± 0.60,"[49.24, 50.44]",0.009523809523809525,0.005039526306789697,0.005714285714285714,0.01523809523809524,0.95 ± 0.50,"[0.57, 1.52]",0.05142857142857143,0.006867716715169505,0.045714285714285714,0.05904761904761905,5.14 ± 0.69,"[4.57, 5.90]",0.21818181818181817,0.0,0.21818181818181817,0.21818181818181817,21.82 ± 0.00,"[21.82, 21.82]",0.08955223880597014,0.0,0.08955223880597014,0.08955223880597014,8.96 ± 0.00,"[8.96, 8.96]",0.22109141954728898,0.0,0.22109141954728898,0.22109141954728898,22.11 ± 0.00,"[22.11, 22.11]",0.728387359927399,2.6323309098717072e-05,0.7283583135233297,0.7284096385410854,0.72839 ± 0.00003,"[0.72836, 0.72841]",0.7835889614925412,2.3689290701768406e-05,0.7835639692364319,0.7836110868908109,0.78359 ± 0.00002,"[0.78356, 0.78361]",0.06198834661612407,3.0489379143190417e-05,0.06195704458820742,0.06201795254057176,6.20 ± 0.00,"[6.20, 6.20]"
Differential Privacy,epsilon=10,3,0.010158730360368887,0.007930156178074257,0.0038095239549875265,0.019047619216144084,1.02 ± 0.79,"[0.38, 1.90]",0.058412700022260344,0.006122952711628114,0.051428573206067085,0.0628571443259716,5.84 ± 0.61,"[5.14, 6.29]",0.4718925518925519,0.015108464616222946,0.46237179487179486,0.489313186813187,47.19 ± 1.51,"[46.24, 48.93]",0.5389403162974592,0.01404939535361807,0.5266134658991801,0.5542373103087389,53.89 ± 1.40,"[52.66, 55.42]",0.00761904761904762,0.00380952380952381,0.00380952380952381,0.011428571428571432,0.76 ± 0.38,"[0.38, 1.14]",0.05650793650793651,0.0076980035891950115,0.047619047619047616,0.06095238095238096,5.65 ± 0.77,"[4.76, 6.10]",0.21818181818181817,0.0,0.21818181818181817,0.21818181818181817,21.82 ± 0.00,"[21.82, 21.82]",0.08955223880597014,0.0,0.08955223880597014,0.08955223880597014,8.96 ± 0.00,"[8.96, 8.96]",0.22109141954728898,0.0,0.22109141954728898,0.22109141954728898,22.11 ± 0.00,"[22.11, 22.11]",0.07612107789396036,1.1384291742647098e-05,0.07611305689295648,0.07613410780440162,0.07612 ± 0.00001,"[0.07611, 0.07613]",0.19821564440156134,1.6901648312550372e-05,0.1982013082875834,0.19823428078853725,0.19822 ± 0.00002,"[0.19820, 0.19823]",0.424402807139921,2.76145390768176e-05,0.42437433837767385,0.42442947976652007,42.44 ± 0.00,"[42.44, 42.44]"
Differential Privacy,epsilon=20,3,0.010793651081621647,0.004793545757540256,0.005714285932481289,0.015238095633685588,1.08 ± 0.48,"[0.57, 1.52]",0.07047619273265203,0.0050395262880160085,0.06666666865348816,0.07619047835469246,7.05 ± 0.50,"[6.67, 7.62]",0.45591575091575093,0.011045053220030686,0.4451556776556777,0.4672252747252747,45.59 ± 1.10,"[44.52, 46.72]",0.5646043083900226,0.010635000350232371,0.5583083900226757,0.5768832199546485,56.46 ± 1.06,"[55.83, 57.69]",0.014603174603174604,0.00769800358919501,0.00761904761904762,0.022857142857142857,1.46 ± 0.77,"[0.76, 2.29]",0.06476190476190476,0.00571428571428571,0.05904761904761905,0.07047619047619047,6.48 ± 0.57,"[5.90, 7.05]",0.21818181818181817,0.0,0.21818181818181817,0.21818181818181817,21.82 ± 0.00,"[21.82, 21.82]",0.08955223880597014,0.0,0.08955223880597014,0.08955223880597014,8.96 ± 0.00,"[8.96, 8.96]",0.22109141954728898,0.0,0.22109141954728898,0.22109141954728898,22.11 ± 0.00,"[22.11, 22.11]",0.01997254782562476,5.167560282310522e-06,0.019968284079522797,0.01997829481017538,0.01997 ± 0.00001,"[0.01997, 0.01998]",0.0999816972545387,9.912309761761244e-06,0.09997486741202218,0.09999306634597448,0.09998 ± 0.00001,"[0.09997, 0.09999]",0.6578969219130826,5.103556112868763e-05,0.6578380830034856,0.6579291901461799,65.79 ± 0.01,"[65.78, 65.79]"
Differential Privacy,epsilon=5,3,0.010158730422457058,0.0029095719605898573,0.007619047723710537,0.013333333656191826,1.02 ± 0.29,"[0.76, 1.33]",0.052063493678967156,0.011160887335793086,0.043809524551033964,0.06476190760731697,5.21 ± 1.12,"[4.38, 6.48]",0.48208485958485964,0.0045379254094066335,0.4768772893772894,0.4851923076923077,48.21 ± 0.45,"[47.69, 48.52]",0.5173703412989128,0.003691531403950707,0.5131887319030176,0.5201773940345369,51.74 ± 0.37,"[51.32, 52.02]",0.006984126984126985,0.004793545673187779,0.001904761904761905,0.011428571428571432,0.70 ± 0.48,"[0.19, 1.14]",0.04507936507936508,0.0076980035891950115,0.03619047619047619,0.049523809523809526,4.51 ± 0.77,"[3.62, 4.95]",0.21818181818181817,0.0,0.21818181818181817,0.21818181818181817,21.82 ± 0.00,"[21.82, 21.82]",0.08955223880597014,0.0,0.08955223880597014,0.08955223880597014,8.96 ± 0.00,"[8.96, 8.96]",0.22109141954728898,0.0,0.22109141954728898,0.22109141954728898,22.11 ± 0.00,"[22.11, 22.11]",0.22535875488600518,1.3817011990607351e-05,0.2253437755303981,0.22537100103303986,0.22536 ± 0.00001,"[0.22534, 0.22537]",0.36480558032631705,2.2592922264004715e-05,0.3647829970322645,0.3648281828644988,0.36481 ± 0.00002,"[0.36478, 0.36483]",0.2482814054859153,1.0739530142458043e-05,0.24826948236161214,0.24829031947720562,24.83 ± 0.00,"[24.83, 24.83]"
Fixed-Noise AE,sigma=0.05,3,0.013968254439532757,0.006122952991691706,0.009523809887468815,0.020952381566166873,1.40 ± 0.61,"[0.95, 2.10]",0.05777777942518394,0.027885957871759386,0.03238095305860043,0.08761904984712603,5.78 ± 2.79,"[3.24, 8.76]",0.4775274725274725,0.030126802243076557,0.44976190476190475,0.5095604395604395,47.75 ± 3.01,"[44.98, 50.96]",0.5325715448572591,0.03445687751575676,0.49295011337868483,0.5555259898831327,53.26 ± 3.45,"[49.30, 55.55]",0.022222222222222223,0.00612295286412251,0.01523809523809524,0.02666666666666666,2.22 ± 0.61,"[1.52, 2.67]",0.060317460317460325,0.0061229528641225175,0.05333333333333332,0.06476190476190477,6.03 ± 0.61,"[5.33, 6.48]",0.844929292929293,0.04970036440532736,0.7935930735930737,0.8928138528138531,84.49 ± 4.97,"[79.36, 89.28]",0.7708994575751428,0.14527004660247017,0.6073812000685732,0.8850579850326513,77.09 ± 14.53,"[60.74, 88.51]",0.8561969936246125,0.05036315220929385,0.8041761712581156,0.9047201263379542,85.62 ± 5.04,"[80.42, 90.47]",0.039532287523343965,0.03387794425888422,0.016112827170978894,0.0783780042268497,0.03953 ± 0.03388,"[0.01611, 0.07838]",0.14295371249090197,0.05848908371265111,0.09959956477937244,0.2094781532783013,0.14295 ± 0.05849,"[0.09960, 0.20948]",0.3884018626337187,0.1863367643330817,0.18354354484899182,0.5478063843413492,38.84 ± 18.63,"[18.35, 54.78]"
Fixed-Noise AE,sigma=0.1,3,0.023492064078648886,0.008589047200818815,0.015238095819950106,0.03238095305860043,2.35 ± 0.86,"[1.52, 3.24]",0.07174603417515756,0.0066893039956583585,0.06476190686225891,0.0780952401459217,7.17 ± 0.67,"[6.48, 7.81]",0.4595573870573871,0.018542796810267128,0.44133699633699636,0.47840659340659347,45.96 ± 1.85,"[44.13, 47.84]",0.5530424443281586,0.029643820009375457,0.5358376940519797,0.5872720216291645,55.30 ± 2.96,"[53.58, 58.73]",0.00761904761904762,0.0032991443953692906,0.005714285714285716,0.011428571428571432,0.76 ± 0.33,"[0.57, 1.14]",0.06349206349206349,0.009395967356792854,0.05714285714285714,0.07428571428571429,6.35 ± 0.94,"[5.71, 7.43]",0.8286176046176047,0.04198469116191103,0.7894891774891774,0.8729696969696971,82.86 ± 4.20,"[78.95, 87.30]",0.8369693666421796,0.03968634111270552,0.8024022390981477,0.8803075066135889,83.70 ± 3.97,"[80.24, 88.03]",0.8396677779727438,0.042544585271106564,0.8000175469380593,0.8846113353219863,83.97 ± 4.25,"[80.00, 88.46]",0.03857565848170249,0.029131937537885802,0.020138311491384134,0.07216066041756501,0.03858 ± 0.02913,"[0.02014, 0.07216]",0.14493597190548674,0.05282899806376489,0.11152157016440385,0.20584171747645255,0.14494 ± 0.05283,"[0.11152, 0.20584]",0.3381286539543618,0.21985698687332902,0.08792903765603349,0.5004737125409459,33.81 ± 21.99,"[8.79, 50.05]"
Fixed-Noise AE,sigma=0.5,3,0.02095238162825505,0.01060526575760113,0.009523809887468815,0.030476191453635688,2.10 ± 1.06,"[0.95, 3.05]",0.07238095477223395,0.006867716305821687,0.06476190760731697,0.0780952401459217,7.24 ± 0.69,"[6.48, 7.81]",0.46735653235653235,0.015182935696348364,0.45167582417582414,0.4819871794871795,46.74 ± 1.52,"[45.17, 48.20]",0.5516698935984651,0.017961666651772835,0.5380631432060003,0.5720292168149311,55.17 ± 1.80,"[53.81, 57.20]",0.013968253968253968,0.012965446258198184,0.00380952380952381,0.02857142857142857,1.40 ± 1.30,"[0.38, 2.86]",0.06666666666666667,0.013735433430339004,0.051428571428571435,0.07809523809523809,6.67 ± 1.37,"[5.14, 7.81]",0.8772409812409813,0.003344920920996058,0.8736450216450216,0.8802597402597403,87.72 ± 0.33,"[87.36, 88.03]",0.8732048844431132,0.006918173873493655,0.8675545138543358,0.8809204801396051,87.32 ± 0.69,"[86.76, 88.09]",0.8889395800432824,0.003389527692358676,0.8852956659062993,0.8919985962449553,88.89 ± 0.34,"[88.53, 89.20]",0.03609293215890639,0.004950402033806405,0.030380530122038608,0.03913031684991085,0.03609 ± 0.00495,"[0.03038, 0.03913]",0.14555358741121718,0.012470133367376027,0.13117470733840744,0.15340641427969004,0.14555 ± 0.01247,"[0.13117, 0.15341]",0.13471634963560694,0.20450809310547924,0.004196827129565544,0.3704080645511835,13.47 ± 20.45,"[0.42, 37.04]"
Fixed-Noise AE,sigma=1.0,3,0.012063492462038994,0.00396507821579845,0.007619047909975053,0.015238095819950106,1.21 ± 0.40,"[0.76, 1.52]",0.06920635104179382,0.00900155374673673,0.05904762074351311,0.07619047835469246,6.92 ± 0.90,"[5.90, 7.62]",0.47113247863247865,0.004068514811984869,0.46664835164835167,0.4745879120879121,47.11 ± 0.41,"[46.66, 47.46]",0.5474928193499622,0.009415006513915318,0.5377082679225537,0.5564886621315193,54.75 ± 0.94,"[53.77, 55.65]",0.014603174603174604,0.002909571869813231,0.011428571428571432,0.017142857142857144,1.46 ± 0.29,"[1.14, 1.71]",0.06095238095238095,0.006867716715169505,0.05523809523809523,0.06857142857142857,6.10 ± 0.69,"[5.52, 6.86]",0.877997113997114,0.008175770610590213,0.8685714285714287,0.8831688311688314,87.80 ± 0.82,"[86.86, 88.32]",0.8713923358012053,0.009824030153306261,0.8615323197928794,0.8811799802357466,87.14 ± 0.98,"[86.15, 88.12]",0.889705796338539,0.008284800013363462,0.880154413054922,0.8949464818389193,88.97 ± 0.83,"[88.02, 89.49]",0.03591821635027469,0.0023956557063953632,0.03383396217214081,0.03853548776742184,0.03592 ± 0.00240,"[0.03383, 0.03854]",0.14951116523357352,0.004260002842013466,0.14677342335589522,0.15441927355811708,0.14951 ± 0.00426,"[0.14677, 0.15442]",0.06696008380404263,0.06777078605297242,0.019305569706194316,0.14454294434517254,6.70 ± 6.78,"[1.93, 14.45]"
GRL Adversarial AE,adversarial,3,0.041269841914375625,0.014547859294871176,0.02857142873108387,0.05714285746216774,4.13 ± 1.45,"[2.86, 5.71]",0.10158730298280716,0.0054985736645416,0.095238097012043,0.10476190596818924,10.16 ± 0.55,"[9.52, 10.48]",0.40982905982905987,0.037606444272914076,0.37284798534798536,0.4480311355311355,40.98 ± 3.76,"[37.28, 44.80]",0.6113945578231292,0.03256859014948515,0.5765314843886272,0.6410382871097157,61.14 ± 3.26,"[57.65, 64.10]",0.022222222222222223,0.021994295969128597,0.009523809523809525,0.047619047619047616,2.22 ± 2.20,"[0.95, 4.76]",0.09206349206349207,0.01982539047110602,0.0761904761904762,0.11428571428571428,9.21 ± 1.98,"[7.62, 11.43]",0.9199711399711399,0.024429754466764687,0.9012987012987012,0.9476190476190475,92.00 ± 2.44,"[90.13, 94.76]",0.9153128761253639,0.026617957780988456,0.8943137086455112,0.9452493294768122,91.53 ± 2.66,"[89.43, 94.52]",0.9322395741943031,0.024755541681973303,0.9133181259870152,0.9602561852956658,93.22 ± 2.48,"[91.33, 96.03]",0.01620462020152231,0.012103389014378992,0.008513754275970129,0.030155990113427632,0.01620 ± 0.01210,"[0.00851, 0.03016]",0.09211986439224618,0.03894946682632591,0.06603305843485383,0.13689132880338858,0.09212 ± 0.03895,"[0.06603, 0.13689]",0.6152764597365096,0.24289020646152612,0.3398673529513367,0.7988941955473047,61.53 ± 24.29,"[33.99, 79.89]"
Gaussian Noise,sigma=0.05,3,0.02603174659113089,0.002199429573356508,0.024761905334889884,0.028571429103612895,2.60 ± 0.22,"[2.48, 2.86]",0.09650793919960658,0.01083093568664516,0.08761904984712603,0.10857143253087997,9.65 ± 1.08,"[8.76, 10.86]",0.444545177045177,0.0026292472397164584,0.4419597069597068,0.44721611721611715,44.45 ± 0.26,"[44.20, 44.72]",0.586640822140822,0.00311604633684944,0.5845927088784231,0.5902268445839874,58.66 ± 0.31,"[58.46, 59.02]",0.01968253968253968,0.00612295286412251,0.01523809523809524,0.02666666666666666,1.97 ± 0.61,"[1.52, 2.67]",0.08190476190476191,0.017457431218879382,0.06666666666666668,0.10095238095238095,8.19 ± 1.75,"[6.67, 10.10]",0.5129523809523809,0.00036855059140769185,0.5125541125541125,0.5132813852813853,51.30 ± 0.04,"[51.26, 51.33]",0.42947670817343614,0.00015479236235746882,0.42930827963433665,0.42961273504624814,42.95 ± 0.02,"[42.93, 42.96]",0.5197929461309001,0.0003734654615510566,0.519389366555536,0.5201263379540271,51.98 ± 0.04,"[51.94, 52.01]",0.0025000742238665383,1.383898814863919e-07,0.002499914664081681,0.0025001615711620876,0.00250 ± 0.00000,"[0.00250, 0.00250]",0.039895108827092775,1.0785052257879254e-06,0.03989386535826184,0.03989578982761928,0.03990 ± 0.00000,"[0.03989, 0.03990]",0.9011639868842174,3.638722954865868e-06,0.9011599037555446,0.9011668865568936,90.12 ± 0.00,"[90.12, 90.12]"
